"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
440.64,-2.5,-2,-2.5,-2.7
441.6,-2.5,-2.3,-2.1,-2.6
442.56,-2.5,-2.2,-2.3,-2.5
443.52,-3.1,-2.6,-2.5,-3
444.48,-2.1,-2.3,-2.5,-2.7
445.44,-3,-2.5,-2.4,-3
446.4,-2.6,-2.6,-2.6,-2.9
447.36,-3.1,-2.3,-2.3,-2.8
448.32,-2.6,-2.6,-2.6,-2.9
449.28,-2.7,-2.4,-2.7,-2.9
450.24,-2.8,-2.6,-2.2,-2.9
451.2,-2.3,-2.2,-2,-2.5
452.16,-2.8,-1.8,-2.6,-2.8
453.12,-2.1,-1.8,-2.4,-2.6
454.08,-2.2,-2.1,-2.1,-2.3
455.04,-2.7,-2.5,-2.9,-3
456,-2.1,-2.6,-2.7,-2.9
456.96,-2,-2.1,-2.2,-2.3
457.92,-2.3,-2.6,-3.1,-2.8
458.88,-2.1,-1.9,-2,-2.2
459.84,-2.6,-2.2,-2.5,-2.8
460.8,-2.3,-2.4,-2.8,-2.7
461.76,-3,-2.3,-2.6,-3
462.72,-2.3,-1.9,-2.3,-2.8
463.68,-2.3,-1.9,-2.7,-2.9
464.64,-2.6,-2.5,-2.8,-3
465.6,-2.8,-2.2,-2.4,-3
466.56,-2.3,-2.1,-2.8,-3
467.52,-2.5,-2.2,-2.7,-2.8
468.48,-1.7,-1.6,-1.8,-2.3
469.44,-3,-3,-3.8,-3.7
470.4,-2.2,-2,-2.4,-2.8
471.36,-2.5,-2.6,-3.2,-2.9
472.32,-2.2,-2.2,-2.2,-2.1
473.28,-2.3,-2.2,-2.4,-2.5
474.24,-2.3,-2.6,-2.8,-3
475.2,-2.7,-2.9,-3.2,-3.3
476.16,-3.1,-3,-2.8,-3.3
477.12,-2.8,-3,-3.5,-3.4
478.08,-2.7,-2.4,-2.8,-3
479.04,-2.5,-2.6,-3.1,-3
480,-2.1,-2.2,-2.4,-2.5
480.96,-2.4,-2.4,-2.8,-2.8
481.92,-2.5,-2.3,-2.2,-2.6
482.88,-2.2,-2.5,-2.3,-2.8
483.84,-2.7,-2.2,-3.1,-3.2
484.8,-3,-2.6,-2.5,-2.9
485.76,-2.3,-2.3,-2.3,-3
486.72,-2.4,-1.9,-2.2,-2.5
487.68,-2.7,-2.6,-2.8,-2.8
488.64,-2.6,-2.5,-2.8,-3
489.6,-2.7,-2.4,-3.3,-3.2
490.56,-2.9,-2.6,-3.1,-3.2
491.52,-2.4,-2.3,-2.6,-3.2
492.48,-2.9,-2.5,-2.9,-3.3
493.44,-3.1,-2.4,-2.9,-3.1
494.4,-3.1,-2.4,-2.9,-3.1
495.36,-2.7,-2.6,-3.1,-3
496.32,-2.5,-2.5,-3.1,-2.7
497.28,-3.1,-2.6,-3,-3.2
498.24,-2.4,-2.5,-3.1,-3
499.2,-2.4,-2.3,-2.8,-2.8
500.16,-3.3,-2.4,-3.2,-3.5
501.12,-2.4,-2.4,-2.9,-3.2
502.08,-2.7,-2.2,-2.8,-2.6
503.04,-3.1,-2.8,-3.2,-3.4
504,-3,-2.3,-3.1,-3.2
504.96,-2.6,-2.2,-2.6,-2.9
505.92,-2.6,-2.6,-3,-3.1
506.88,-2.2,-2.2,-2.8,-2.8
507.84,-2.7,-2.4,-3.3,-3.5
508.8,-3,-2.5,-3.1,-3.2
509.76,-2.5,-2.4,-2.8,-3
510.72,-2.3,-2.4,-3.2,-3.1
511.68,-2.5,-2.4,-2.7,-2.6
512.64,-2.7,-2.5,-2.8,-3.5
513.6,-3.2,-2.6,-2.6,-3.3
514.56,-2.4,-2.2,-2.6,-2.9
515.52,-2.6,-2,-2,-2.4
516.48,-3,-2.4,-2.9,-3
517.44,-1.8,-1.8,-2,-2.3
518.4,-2.6,-2.3,-2.5,-2.7
519.36,-2.6,-2.4,-2.7,-2.8
520.32,-2.6,-2,-2.5,-2.5
521.28,-2.6,-2.1,-2.6,-2.8
522.24,-2.6,-2.8,-3.1,-3
523.2,-2.7,-2.3,-2.4,-2.6
524.16,-2.2,-2.4,-2.5,-2.5
