"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
210.24,-1.7,-1.7,-1.8,-2.2
211.2,-1.2,-1.6,-1.9,-1.9
212.16,-1.5,-1.9,-2,-2.2
213.12,-1.4,-1.8,-1.6,-1.7
214.08,-1.5,-1.3,-1.6,-1.9
215.04,-2,-1.8,-2,-2.6
216,-1.9,-1.4,-2,-2.4
216.96,-2.4,-2.3,-2.7,-3.2
217.92,-1.9,-2,-2.4,-2.6
218.88,-2.2,-2.2,-2.4,-3.1
219.84,-2.2,-2,-2,-2.6
220.8,-1.8,-1.8,-1.7,-2.3
221.76,-1.9,-1.8,-1.8,-2.3
222.72,-1.2,-1.6,-2,-2
223.68,-2,-2.1,-2.3,-2.7
224.64,-1.9,-2.1,-2.3,-2.7
225.6,-1.4,-1.5,-1.8,-2.1
226.56,-2,-2.2,-2.1,-2.5
227.52,-1.6,-1.9,-2,-2.3
228.48,-1.9,-2.5,-2.7,-2.6
229.44,-1.9,-1.8,-2.1,-2.5
230.4,-2.1,-2,-2.1,-2.5
231.36,-1.9,-1.7,-2.1,-2.7
232.32,-1.8,-1.7,-2,-2.9
233.28,-2.1,-1.8,-1.8,-2.6
234.24,-2.2,-2.2,-2.3,-2.8
235.2,-2,-2.4,-2.4,-2.8
236.16,-2.1,-2.7,-2.6,-3
237.12,-2.1,-1.9,-1.8,-2.5
238.08,-1.7,-1.5,-1.9,-2.2
239.04,-1.7,-1.4,-1.4,-2
240,-1.6,-1.6,-1.8,-2
240.96,-2,-2,-1.9,-2.6
241.92,-2.2,-2.1,-2.5,-2.8
242.88,-1.6,-1.7,-1.7,-2
243.84,-1.6,-1.7,-2,-2.2
244.8,-1.4,-1.4,-1.5,-1.9
245.76,-2,-2,-1.5,-2.1
246.72,-1.6,-2,-2,-2.3
247.68,-1.4,-1.5,-1.8,-2.1
248.64,-1.8,-1.6,-1.9,-2.3
249.6,-1.9,-1.6,-1.8,-2.5
250.56,-2,-2,-1.9,-2.2
251.52,-1.9,-1.7,-1.7,-2.5
252.48,-2,-1.9,-2.2,-2.6
253.44,-1.9,-1.8,-1.7,-2.4
254.4,-1.6,-2.1,-2.2,-2.7
255.36,-2.3,-2.4,-2,-2.5
256.32,-1.8,-1.6,-1.5,-2.1
257.28,-2.3,-2.3,-2.5,-2.9
258.24,-2.1,-1.9,-1.9,-2.5
259.2,-1.7,-1.8,-1.9,-2.3
260.16,-2.2,-2.7,-2.7,-3
261.12,-2.1,-2.1,-2.4,-2.5
262.08,-1.9,-1.9,-2.2,-2.6
263.04,-2.2,-2.1,-2.9,-3.2
264,-2.1,-2.4,-2.8,-3.3
264.96,-2.5,-2.9,-3.1,-3.5
265.92,-2.1,-1.9,-2.3,-2.6
266.88,-2.1,-2,-2.5,-2.9
267.84,-2.1,-2.1,-2.5,-2.8
268.8,-2.3,-2.2,-2.7,-2.5
269.76,-2.2,-2,-1.8,-2.5
270.72,-2.2,-2.1,-2.5,-2.9
271.68,-2.2,-2.3,-2.4,-2.6
272.64,-2.6,-2.8,-2.9,-3.1
273.6,-2.2,-2.2,-2.3,-2.5
274.56,-1.7,-1.9,-2,-2.1
275.52,-2.2,-2.4,-2.8,-3
276.48,-2.2,-2.1,-2.1,-2.6
277.44,-2.2,-2.6,-2.8,-3.2
278.4,-2.3,-2.4,-2.2,-2.6
279.36,-2.3,-2.5,-2.5,-3.1
280.32,-2.3,-2.1,-2.7,-3
281.28,-2.4,-2,-2.5,-2.8
282.24,-2,-2.1,-2.1,-2.4
283.2,-2.3,-2.8,-2.9,-3.1
284.16,-2,-1.9,-2.1,-2.4
285.12,-2.8,-2.6,-2.7,-3
286.08,-1.9,-2,-1.8,-2.5
287.04,-2.1,-2,-1.9,-2.5
288,-2.3,-2.2,-2.3,-2.6
288.96,-2.5,-2.5,-2.9,-3.2
289.92,-2.8,-2.2,-2.5,-2.9
290.88,-2.1,-2.1,-2.6,-2.8
291.84,-2,-2.3,-2.7,-3.1
292.8,-2.7,-2.5,-2.8,-3.2
293.76,-2.5,-2.2,-2.2,-2.7
294.72,-2.3,-2.2,-2.7,-3.2
295.68,-2.5,-3.4,-3.8,-3.8
296.64,-2.1,-2,-2,-2.5
297.6,-2.1,-2.2,-2.2,-2.8
298.56,-2.2,-2.5,-2.8,-3
299.52,-2.4,-2.1,-2.4,-2.8
300.48,-2.5,-2.5,-3,-3.2
301.44,-2.3,-2.3,-2.1,-2.8
302.4,-2.3,-2.4,-2.2,-2.6
303.36,-2,-1.7,-2.1,-2.6
304.32,-2,-2,-2.1,-2.5
305.28,-2.8,-2.5,-2.3,-3
306.24,-2,-1.9,-2.1,-2.6
307.2,-1.9,-1.9,-1.8,-2.4
308.16,-2.2,-1.8,-1.9,-2.6
309.12,-1.9,-1.8,-2,-2.3
310.08,-2.5,-2.1,-1.9,-2.8
311.04,-2.1,-2.4,-2.4,-2.9
312,-1.8,-2.1,-2.1,-2.4
312.96,-2.4,-2.3,-2.7,-3.1
313.92,-2.3,-2.2,-2.2,-2.7
314.88,-2.4,-2.3,-2,-2.8
315.84,-2.1,-2.1,-1.9,-2.7
316.8,-2.4,-2.3,-2.5,-2.9
317.76,-2.3,-2.2,-2.7,-3.2
318.72,-2.1,-2,-2.4,-2.7
319.68,-2.1,-2.1,-2.1,-2.8
320.64,-2.1,-2,-2.3,-2.7
321.6,-1.8,-2.1,-2.3,-2.8
322.56,-2.5,-2.4,-2.8,-3.2
323.52,-1.9,-2,-2.1,-2.4
324.48,-1.5,-1.7,-1.9,-2.3
325.44,-2.2,-2.2,-2,-2.9
326.4,-1.7,-1.7,-1.7,-2
327.36,-2,-2.1,-2.5,-3.1
328.32,-2.1,-1.6,-2,-2.6
329.28,-2.2,-2,-2.2,-2.8
330.24,-1.5,-2,-2.1,-2.3
331.2,-1.9,-1.8,-2.1,-2.6
332.16,-2.1,-2,-2,-2.8
333.12,-2,-2.1,-2.1,-2.7
334.08,-2.2,-1.6,-1.7,-2.5
335.04,-2.1,-1.9,-2.4,-2.6
336,-1.7,-1.6,-1.9,-2.3
336.96,-1.8,-1.6,-1.6,-2.2
337.92,-2.2,-2.2,-2.3,-3
338.88,-2.1,-2.1,-2.4,-2.4
339.84,-1.6,-1.7,-1.6,-2
340.8,-2.1,-2,-2.2,-2.7
341.76,-2.1,-1.8,-2.6,-2.9
342.72,-2.5,-2.5,-2.6,-3.1
343.68,-2.2,-2,-2.3,-2.7
344.64,-2.1,-2.1,-2.2,-2.6
345.6,-1.9,-1.8,-2,-2.5
346.56,-1.5,-1.3,-1.7,-1.9
347.52,-1.8,-1.8,-1.9,-2.4
348.48,-2,-2,-1.9,-2.7
349.44,-2.3,-2,-2.3,-2.9
350.4,-2.3,-2.9,-3,-3.3
