"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
251.52,-1.7,-1.9,-1.9,-2
252.48,-1.9,-2.1,-1.8,-2.2
253.44,-1.7,-2.1,-2.1,-2
254.4,-2,-1.8,-1.9,-2.3
255.36,-1.8,-2.1,-2.2,-2.2
256.32,-1.9,-2,-2.3,-2.3
257.28,-1.6,-2,-1.9,-2
258.24,-1.9,-2.4,-2.4,-2.5
259.2,-2.1,-1.8,-2.3,-2.2
260.16,-2.1,-2.1,-2,-2.4
261.12,-2,-2.5,-2.7,-2.9
262.08,-2,-2.3,-2.5,-2.5
263.04,-2.1,-2,-2.2,-2.4
264,-2.3,-2.2,-2.2,-2.5
264.96,-2.2,-2.7,-2.5,-2.7
265.92,-1.9,-1.9,-1.8,-2.2
266.88,-1.8,-2.2,-2.5,-2.4
267.84,-2.4,-2.2,-2,-2.5
268.8,-2.1,-2.1,-2.2,-2.4
269.76,-2.2,-2.3,-2.3,-2.3
270.72,-3.1,-2.9,-2.8,-3
271.68,-2.2,-2.4,-2.4,-2.3
272.64,-2.4,-2.4,-2.4,-2.3
273.6,-2.2,-2.4,-2.6,-2.7
274.56,-2.3,-2.5,-2.5,-2.5
275.52,-1.8,-2,-2,-2.4
276.48,-2.2,-2,-2.1,-2.5
277.44,-2.9,-2.6,-2.8,-2.6
278.4,-2.3,-2.6,-2.6,-2.8
279.36,-2,-2,-2.2,-2
280.32,-2,-2.2,-2.4,-2.4
281.28,-2.6,-2.4,-2.3,-2.5
282.24,-2.4,-2.6,-2.6,-2.5
283.2,-2.1,-2.6,-2.4,-2.6
284.16,-1.7,-1.8,-1.7,-2
285.12,-2,-2.4,-2.7,-2.6
286.08,-1.9,-2.4,-2.2,-2.3
287.04,-2.7,-2.3,-2.4,-2.6
288,-2.4,-2.6,-2.7,-2.8
288.96,-2.1,-1.9,-2.1,-2.4
289.92,-2.3,-2.5,-2.2,-2.5
290.88,-2.5,-2.1,-2,-2.3
291.84,-1.9,-2.4,-2.4,-2.5
292.8,-1.6,-2,-1.6,-1.9
293.76,-2,-2.2,-2.1,-2.2
294.72,-2.1,-2.2,-2.4,-2.4
295.68,-1.9,-2.2,-2.2,-2.3
