"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
5718.72,-2.8,-2.9,-3.3,-2.9
5719.68,-2.8,-3,-3.4,-3.1
5720.64,-2.3,-2.7,-3,-2.6
5721.6,-2.3,-3.5,-3.2,-3.5
5722.56,-2.2,-2.6,-2.5,-2.9
5723.52,-2.3,-2.7,-2.6,-2.8
5724.48,-1.6,-2.4,-2.2,-2.5
5725.44,-1.8,-2.6,-2.4,-2.9
5726.4,-3,-3.1,-3.4,-3.4
5727.36,-2.5,-2.8,-2.9,-2.6
5728.32,-2.9,-3.9,-3.9,-4.2
5729.28,-1.9,-2.7,-2.6,-2.9
5730.24,-2.2,-2.7,-2.5,-2.8
5731.2,-1.9,-2.1,-2.3,-2.7
5732.16,-2.9,-3.9,-3.7,-3.7
5733.12,-2.6,-2.6,-2.8,-2.5
5734.08,-2.2,-2.2,-2.4,-2.3
5735.04,-2.4,-2.7,-2.9,-2.9
5736,-2.2,-2.4,-2.6,-2.5
5736.96,-2.2,-2.5,-2.5,-2.5
5737.92,-2.8,-3,-3.2,-3
5738.88,-2.9,-3.1,-3.3,-2.9
5739.84,-2.9,-2.5,-2.7,-2.6
5740.8,-2.5,-2.9,-3.2,-2.9
5741.76,-2,-2.3,-2.3,-2.2
5742.72,-2.9,-3.3,-3.5,-3.1
5743.68,-2.7,-3,-3.2,-2.8
5744.64,-2.3,-2.4,-2.7,-2.6
5745.6,-2.2,-2.5,-2.6,-2.7
5746.56,-2.4,-2.4,-2.5,-2.6
5747.52,-2.5,-3.1,-3.2,-3
5748.48,-2.7,-3,-3,-2.8
5749.44,-2.1,-2.3,-2.5,-2.3
5750.4,-2.3,-2.5,-2.8,-2.6
5751.36,-2.8,-3,-3.2,-3
5752.32,-2.6,-2.6,-2.9,-2.7
5753.28,-2.1,-2.3,-2.5,-2.4
5754.24,-3,-3.4,-3.5,-3.2
5755.2,-2.9,-2.7,-3.1,-2.9
5756.16,-2.9,-3.2,-3.6,-3.3
5757.12,-2,-2.4,-2.7,-2.6
5758.08,-2.3,-2.6,-2.8,-2.6
5759.04,-2.3,-2.5,-2.5,-2.7
5760,-1.9,-2.7,-2.6,-2.7
5760.96,-2.6,-2.7,-2.8,-2.9
5761.92,-2.3,-2.8,-2.9,-2.8
5762.88,-2,-2.9,-2.5,-2.6
5763.84,-2.1,-2.4,-2.7,-2.7
5764.8,-2.2,-2.1,-2.5,-2.2
5765.76,-2.8,-2.6,-2.9,-2.9
5766.72,-1.8,-2.1,-2.2,-2.1
5767.68,-2.4,-2.3,-2.5,-2.6
5768.64,-2.3,-2.5,-2.8,-2.6
5769.6,-2.2,-2.1,-2.6,-2.3
5770.56,-2.3,-2.6,-2.8,-2.4
5771.52,-2.6,-3.2,-3.2,-2.8
5772.48,-3.1,-3.2,-3.4,-3.1
5773.44,-2.1,-2.5,-2.6,-2.7
5774.4,-2.7,-2.6,-3,-2.8
5775.36,-2.1,-2.3,-2.4,-2.2
5776.32,-2.6,-2.7,-3,-2.6
5777.28,-2.4,-2.6,-2.8,-2.6
5778.24,-2.4,-2.3,-2.6,-2.2
5779.2,-2.1,-2.5,-2.5,-2.3
5780.16,-2.7,-2.8,-3,-2.6
5781.12,-2.2,-2.7,-2.7,-2.6
5782.08,-2.3,-2.3,-2.5,-2.5
5783.04,-2.5,-2.5,-2.9,-2.6
5784,-3,-3,-3.3,-3.1
5784.96,-2.4,-2.8,-2.7,-2.9
5785.92,-2.2,-2.7,-3.1,-2.8
5786.88,-3.3,-3.7,-3.7,-3.6
5787.84,-2.4,-3.3,-3.3,-3.4
5788.8,-2.1,-3.4,-3.3,-3.5
5789.76,-2.3,-3.9,-3.7,-3.9
5790.72,-3.2,-4.4,-4.1,-4.3
5791.68,-2.2,-2.3,-2.7,-2.4
5792.64,-2,-2.2,-2.4,-2.2
5793.6,-2.9,-3.1,-3.4,-2.9
5794.56,-2,-2,-2.1,-2.3
5795.52,-2.5,-3,-3.1,-2.9
5796.48,-2.2,-2.2,-2.4,-2.2
